Lote,IdVenta,Fecha,Cliente,Producto,Vendedor,Region,CondicionPago,Precio_Compra,Precio_Venta,Cantidad,Entrada_Stock,Salida_Venta,Stock_Actual,Ingresos,Costos,Margen,Porc_Margen,Meta,Diferencia,Porc_Cumpl
"1772828033059","INV-00001","2024-11-23","Banco BHD","Impresora Epson","Sofía Gómez","Santo Domingo","Tarjeta","150","320","15","21","15","6","4800","2250","2550","53.13","4425.88","374.12","108.45"
"1772828033059","INV-00001","2024-11-23","Banco BHD","Disco Externo 2TB","Sofía Gómez","Santo Domingo","Tarjeta","70","140","17","35","17","18","2380","1190","1190","50.00","2222.81","157.19","107.07"
"1772828033059","INV-00001","2024-11-23","Banco BHD","Scanner Fujitsu","Sofía Gómez","Santo Domingo","Tarjeta","220","420","18","62","18","44","7560","3960","3600","47.62","7258.95","301.05","104.15"
"1772828033059","INV-00001","2024-11-23","Banco BHD","Apple Watch","Sofía Gómez","Santo Domingo","Tarjeta","250","450","7","46","7","39","3150","1750","1400","44.44","3310.53","-160.53","95.15"
"1772828033059","INV-00002","2025-04-27","Grupo SID","RTX 4070","Miguel Vargas","Sur","Transferencia","500","850","9","18","9","9","7650","4500","3150","41.18","6988.16","661.84","109.47"
"1772828033059","INV-00003","2025-08-27","Carrefour RD","Lenovo ThinkPad","Luis Herrera","Este","Crédito 30 días","950","1500","17","24","17","7","25500","16150","9350","36.67","22971.01","2528.99","111.01"
"1772828033059","INV-00004","2024-08-03","Bravo Supermercado","Xbox Series X","Carlos Méndez","Santo Domingo","Contado","420","680","14","28","14","14","9520","5880","3640","38.24","9253.16","266.84","102.88"
"1772828033059","INV-00004","2024-08-03","Bravo Supermercado","Audífonos Sony","Carlos Méndez","Santo Domingo","Contado","200","380","20","47","20","27","7600","4000","3600","47.37","6658.81","941.19","114.13"
"1772828033059","INV-00004","2024-08-03","Bravo Supermercado","Samsung Galaxy S23","Carlos Méndez","Santo Domingo","Contado","700","1100","17","41","17","24","18700","11900","6800","36.36","21555.87","-2855.87","86.75"
"1772828033059","INV-00004","2024-08-03","Bravo Supermercado","PlayStation 5","Carlos Méndez","Santo Domingo","Contado","400","650","7","32","7","25","4550","2800","1750","38.46","4243","307","107.24"
"1772828033059","INV-00005","2024-11-16","Grupo Corripio","Surface Pro","Sofía Gómez","Este","Contado","850","1350","9","28","9","19","12150","7650","4500","37.04","11807.08","342.92","102.90"
"1772828033059","INV-00005","2024-11-16","Grupo Corripio","Memoria RAM 16GB","Sofía Gómez","Este","Contado","45","95","19","31","19","12","1805","855","950","52.63","1899.6","-94.6","95.02"
