Lote,IdVenta,Fecha,Cliente,Producto,Vendedor,Region,CondicionPago,Precio_Compra,Precio_Venta,Cantidad,Entrada_Stock,Salida_Venta,Stock_Actual,Ingresos,Costos,Margen,Porc_Margen,Meta,Diferencia,Porc_Cumpl
"1772828068210","INV-00669","2024-11-10","Omega Tech","Surface Pro","Luis Herrera","Distrito Nacional","Contado","850","1350","4","39","4","35","5400","3400","2000","37.04","4750.69","649.31","113.67"
"1772828068210","INV-00670","2025-01-15","Omega Tech","Surface Pro","Andrés Batista","Este","Transferencia","850","1350","9","39","9","30","12150","7650","4500","37.04","12855.73","-705.73","94.51"
"1772828068210","INV-00670","2025-01-15","Omega Tech","MacBook Air M2","Andrés Batista","Este","Transferencia","900","1400","6","53","6","47","8400","5400","3000","35.71","9323.36","-923.36","90.10"
"1772828068210","INV-00671","2024-11-07","Plaza Central","Impresora Epson","María López","Sur","Crédito 30 días","150","320","15","49","15","34","4800","2250","2550","53.13","5092.9","-292.9","94.25"
"1772828068210","INV-00671","2024-11-07","Plaza Central","Switch Cisco","María López","Sur","Crédito 30 días","700","1200","12","55","12","43","14400","8400","6000","41.67","16497.3","-2097.3","87.29"
"1772828068210","INV-00671","2024-11-07","Plaza Central","Access Point","María López","Sur","Crédito 30 días","120","240","15","43","15","28","3600","1800","1800","50.00","4270.82","-670.82","84.29"
"1772828068210","INV-00671","2024-11-07","Plaza Central","Laptop Dell XPS","María López","Sur","Crédito 30 días","800","1200","15","19","15","4","18000","12000","6000","33.33","20830.21","-2830.21","86.41"
"1772828068210","INV-00672","2025-10-27","Hotel Jaragua","iPhone 14 Pro","Pedro Castillo","Norte","Tarjeta","850","1300","20","66","20","46","26000","17000","9000","34.62","23515.04","2484.96","110.57"
"1772828068210","INV-00672","2025-10-27","Hotel Jaragua","Memoria RAM 16GB","Pedro Castillo","Norte","Tarjeta","45","95","5","31","5","26","475","225","250","52.63","532.98","-57.98","89.12"
"1772828068210","INV-00672","2025-10-27","Hotel Jaragua","Impresora Epson","Pedro Castillo","Norte","Tarjeta","150","320","10","10","10","0","3200","1500","1700","53.13","2921.83","278.17","109.52"
"1772828068210","INV-00672","2025-10-27","Hotel Jaragua","Samsung Galaxy S23","Pedro Castillo","Norte","Tarjeta","700","1100","17","63","17","46","18700","11900","6800","36.36","16124.02","2575.98","115.98"
"1772828068210","INV-00672","2025-10-27","Hotel Jaragua","Impresora Epson","Pedro Castillo","Norte","Tarjeta","150","320","7","47","7","40","2240","1050","1190","53.13","2015.41","224.59","111.14"
"1772828068210","INV-00673","2024-09-10","Sambil","MacBook Air M2","Luis Herrera","Este","Transferencia","900","1400","4","30","4","26","5600","3600","2000","35.71","4904.98","695.02","114.17"
"1772828068210","INV-00674","2025-07-27","Hiper Uno","Impresora Epson","Pedro Castillo","Santo Domingo","Crédito 60 días","150","320","4","24","4","20","1280","600","680","53.13","1202.69","77.31","106.43"
"1772828068210","INV-00674","2025-07-27","Hiper Uno","Disco Externo 2TB","Pedro Castillo","Santo Domingo","Crédito 60 días","70","140","16","23","16","7","2240","1120","1120","50.00","2648.09","-408.09","84.59"
"1772828068210","INV-00674","2025-07-27","Hiper Uno","PlayStation 5","Pedro Castillo","Santo Domingo","Crédito 60 días","400","650","8","57","8","49","5200","3200","2000","38.46","4570.65","629.35","113.77"
"1772828068210","INV-00675","2026-01-31","Sambil","Scanner Fujitsu","Andrés Batista","Sur","Crédito 30 días","220","420","3","50","3","47","1260","660","600","47.62","1479.91","-219.91","85.14"
"1772828068210","INV-00675","2026-01-31","Sambil","Mouse Gamer","Andrés Batista","Sur","Crédito 30 días","35","70","16","37","16","21","1120","560","560","50.00","1160.74","-40.74","96.49"
"1772828068210","INV-00675","2026-01-31","Sambil","Scanner Fujitsu","Andrés Batista","Sur","Crédito 30 días","220","420","7","55","7","48","2940","1540","1400","47.62","3151.75","-211.75","93.28"
"1772828068210","INV-00676","2024-05-18","Centro Cuesta Nacional","Cámara Canon","Pedro Castillo","Sur","Contado","600","1000","20","65","20","45","20000","12000","8000","40.00","20772.01","-772.01","96.28"
"1772828068210","INV-00676","2024-05-18","Centro Cuesta Nacional","Proyector Epson","Pedro Castillo","Sur","Contado","300","600","12","20","12","8","7200","3600","3600","50.00","8028.73","-828.73","89.68"
"1772828068210","INV-00676","2024-05-18","Centro Cuesta Nacional","Apple Watch","Pedro Castillo","Sur","Contado","250","450","8","56","8","48","3600","2000","1600","44.44","3630.51","-30.51","99.16"
"1772828068210","INV-00677","2026-02-26","Carrefour RD","MacBook Air M2","Juan Peña","Sur","Contado","900","1400","15","42","15","27","21000","13500","7500","35.71","24357.55","-3357.55","86.22"
"1772828068210","INV-00677","2026-02-26","Carrefour RD","Servidor HP","Juan Peña","Sur","Contado","1500","2500","8","53","8","45","20000","12000","8000","40.00","19030.76","969.24","105.09"
"1772828068210","INV-00677","2026-02-26","Carrefour RD","Smartwatch Samsung","Juan Peña","Sur","Contado","180","350","15","27","15","12","5250","2700","2550","48.57","5347.59","-97.59","98.18"
"1772828068210","INV-00677","2026-02-26","Carrefour RD","MacBook Air M2","Juan Peña","Sur","Contado","900","1400","3","22","3","19","4200","2700","1500","35.71","4793.72","-593.72","87.61"
"1772828068210","INV-00677","2026-02-26","Carrefour RD","Memoria RAM 16GB","Juan Peña","Sur","Contado","45","95","4","37","4","33","380","180","200","52.63","336.8","43.2","112.83"
"1772828068210","INV-00678","2024-10-06","Hotel Jaragua","Tablet iPad","Sofía Gómez","Norte","Crédito 60 días","300","550","7","55","7","48","3850","2100","1750","45.45","3599.96","250.04","106.95"
"1772828068210","INV-00678","2024-10-06","Hotel Jaragua","Router TP-Link","Sofía Gómez","Norte","Crédito 60 días","60","120","14","52","14","38","1680","840","840","50.00","1585.78","94.22","105.94"
